what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1346601340223
os,sysinfo,,,"win32",1346601340223
arch,sysinfo,,,"x86_64",1346601340223
ws,sysinfo,,,"win32",1346601340223
locale,sysinfo,,,"pt_BR",1346601340223
processors,sysinfo,,,"4",1346601340223
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346601340223
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1346601340223
java.specification.name,sysinfo,,,"Java Platform API Specification",1346601340223
java.specification.vendor,sysinfo,,,"Oracle Corporation",1346601340223
java.specification.version,sysinfo,,,"1.7",1346601340223
java.vendor,sysinfo,,,"Oracle Corporation",1346601340223
java.version,sysinfo,,,"1.7.0_04",1346601340223
java.vm.info,sysinfo,,,"mixed mode",1346601340223
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346601340223
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346601340223
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1346601340223
java.vm.specification.version,sysinfo,,,"1.7",1346601340223
java.vm.vendor,sysinfo,,,"Oracle Corporation",1346601340223
java.vm.version,sysinfo,,,"23.0-b21",1346601340223
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346601345122
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1346601345153
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1346601345153
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1346601345200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601347946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601351877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601351939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601354872
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1346601355262
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1346601355278
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1346601358554
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1346601360067
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1346601360223
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601360301
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601360597
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1346601360878
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1346601361143
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1346601376977
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1346601376993
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1346601376993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601392156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601396341
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346601396388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601398010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601404936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601404983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601406746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601410506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346601428024
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346601432517
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601433016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601433110
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346601442595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601450941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601451206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346601469099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346601471533
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601471985
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346601479021
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601479255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601479349
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346601485526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601486103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346601489754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346601491953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346601494309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346601495838
